Replicate	Original	Coldtemp	Climate	Dead	Living
1	5	0	Oregon	5	5
2	5	-2	Wenatchee	7	3
3	5	-2	Wenatchee	3	7
4	5	-2	Oregon	3	7
5	5	-4	Oregon	5	5
6	5	-4	Wenatchee	8	2
7	5	2	Oregon	2	8
8	5	-2	Cali	4	6
9	5	-4	Cali	4	6
10	5	0	Cali	7	3
11	5	0	Oregon	6	4
12	5	-2	Cali	6	4
13	5	2	Cali	3	7
14	5	0	Cali	6	4
15	5	2	Cali	5	5
16	5	0	Wenatchee	9	1
17	5	control	Oregon	10	0
18	5	-4	Oregon	6	4
19	5	2	Wenatchee	3	7
20	5	control	Oregon	4	6
21	5	-4	Oregon	6	4
22	5	0	Wenatchee	6	4
23	5	-2	Cali	7	3
24	5	-2	Oregon	7	3
25	5	control	Cali	5	5
26	5	0	Wenatchee	6	4
27	5	control	Oregon	7	3
28	5	control	Cali	1	9
29	5	-4	Oregon	8	2
30	5	0	Wenatchee	7	3
31	5	2	Wenatchee	6	4
32	5	0	Oregon	7	3
33	5	2	Oregon	7	3
34	5	-4	Wenatchee	7	3
35	5	-4	Cali	4	6
36	5	2	Wenatchee	7	3
37	5	-2	Wenatchee	6	4
38	5	-2	Cali	7	3
39	5	-4	Oregon	8	2
40	5	2	Wenatchee	5	5
41	5	2	Cali	6	4
42	5	-4	Oregon	10	0
43	5	0	Wenatchee	9	1
44	5	control	Oregon	8	2
45	5	control	Oregon	6	4
46	5	-4	Wenatchee	6	4
47	5	control	Cali	5	5
48	5	2	Wenatchee	4	6
49	5	control	Cali	9	1
50	5	control	Cali	4	6
51	5	-2	Cali	6	4
52	5	-2	Wenatchee	5	5
53	5	0	Cali	4	6
54	5	0	Cali	7	3
55	5	2	Cali	5	5
56	5	-2	Oregon	6	4
57	5	2	Oregon	4	6
58	5	-4	Cali	7	3
59	5	-2	Oregon	6	4
60	5	0	Oregon	4	6
61	5	2	Oregon	6	4
62	5	2	Oregon	5	5
63	5	2	Oregon	5	5
64	5	-4	Cali	9	1
65	5	0	Oregon	7	3
66	5	control	Cali	5	5
67	5	control	Wenatchee	6	4
68	5	0	Cali	3	7
69	5	2	Cali	0	10
70	5	2	Cali	6	4
71	5	0	Wenatchee	4	6
72	5	-2	Wenatchee	5	5
74	5	control	Cali	3	7
75	5	-4	Oregon	4	6
76	5	control	Wenatchee	9	1
77	5	-4	Cali	4	6
78	5	-2	Cali	9	1
79	5	control	Wenatchee	7	3
80	5	-4	Wenatchee	6	4
81	5	0	Wenatchee	5	5
82	5	0	Oregon	4	6
83	5	-2	Cali	5	5
85	5	-4	Wenatchee	2	8
86	5	-4	Cali	4	6
87	5	0	Oregon	6	4
88	5	2	Oregon	6	4
89	5	-4	Wenatchee	3	7
90	5	control	Oregon	7	3
91	5	2	Wenatchee	8	2
92	5	0	Wenatchee	5	5
94	5	0	Oregon	7	3
95	5	-4	Oregon	4	6
96	5	-4	Cali	3	7
97	5	control	Wenatchee	7	3
98	5	0	Cali	4	6
99	5	-2	Wenatchee	8	2
100	5	control	Wenatchee	8	2
101	5	2	Cali	6	4
102	5	-2	Oregon	9	1
103	5	control	Wenatchee	7	3
104	5	2	Wenatchee	10	0
105	5	2	Cali	3	7
106	5	2	Oregon	6	4
107	5	-2	Cali	7	3
108	5	-4	Cali	5	5
109	5	2	Oregon	7	3
110	5	-2	Wenatchee	7	3
111	5	2	Cali	5	5
112	5	-2	Oregon	7	3
113	5	-2	Cali	9	1
114	5	2	Wenatchee	8	2
115	5	control	Wenatchee	7	3
117	5	0	Cali	8	2
118	5	0	Cali	9	1
119	5	-2	Oregon	7	3
120	5	control	Wenatchee	9	1
121	5	-2	Oregon	5	5
122	5	-2	Oregon	5	5
123	5	0	Cali	5	5
125	5	0	Wenatchee	8	2
126	5	control	Wenatchee	6	4
127	5	-2	Wenatchee	8	2
128	5	-4	Wenatchee	5	5
129	5	-4	Oregon	3	7
130	5	-4	Wenatchee	5	5
131	5	-4	Wenatchee	7	3
132	5	2	Wenatchee	4	6
133	5	control	Cali	3	7
134	5	control	Oregon	2	8
135	5	control	Oregon	5	5
136	5	control	Oregon	6	4
137	5	0	Oregon	3	7
138	5	-2	Wenatchee	6	4
139	5	control	Cali	5	5
140	5	-4	Cali	6	4
141	9	-6	Wenatchee	8	2
142	9	-6	Wenatchee	8	2
143	8	-6	Wenatchee	10	0
144	8	-6	Wenatchee	9	1
145	9	-6	Oregon	7	3
146	9	-6	Cali	7	3
147	9	-6	Wenatchee	7	3
148	9	-6	Cali	9	1
149	9	-6	Oregon	6	4
150	9	-6	Oregon	8	2
151	8	-6	Wenatchee	5	5
152	5	-6	Wenatchee	10	0
153	5	-6	Oregon	8	2
154	5	-6	Cali	10	0
155	5	-6	Cali	9	1
156	5	-6	Oregon	8	2
157	5	-6	Cali	7	3
158	5	-6	Oregon	8	2
159	5	-6	Cali	7	3
160	5	-6	Oregon	8	2
161	5	-6	Oregon	10	0
162	6	-6	Wenatchee	9	1
163	6	-6	Cali	8	2
164	6	-6	Cali	9	1
165	6	-6	Cali	10	0
166	7	-6	Oregon	9	1
167	7	-6	Wenatchee	10	0
116extra		2	Wenatchee	2	8
124extra		-4	Oregon	9	1
73extra		control	Oregon	1	9
84extra		-2	Oregon	8	2
93extra		0	Cali	2	8
