Rep	orig	Coldtemp	Climate	Dead	Living
2	5	-2	WA	7	3
3	5	-2	WA	3	7
6	5	-4	WA	8	2
16	5	0	WA	9	1
19	5	2	WA	3	7
22	5	0	WA	6	4
26	5	0	WA	6	4
30	5	0	WA	7	3
31	5	2	WA	6	4
34	5	-4	WA	7	3
36	5	2	WA	7	3
37	5	-2	WA	6	4
40	5	2	WA	5	5
43	5	0	WA	9	1
46	5	-4	WA	6	4
48	5	2	WA	4	6
52	5	-2	WA	5	5
67	5	control	WA	6	4
71	5	0	WA	4	6
72	5	-2	WA	5	5
76	5	control	WA	9	1
79	5	control	WA	7	3
80	5	-4	WA	6	4
81	5	0	WA	5	5
85	5	-4	WA	2	8
89	5	-4	WA	3	7
91	5	2	WA	8	2
92	5	0	WA	5	5
97	5	control	WA	7	3
99	5	-2	WA	8	2
100	5	control	WA	8	2
103	5	control	WA	7	3
104	5	2	WA	10	0
110	5	-2	WA	7	3
114	5	2	WA	8	2
115	5	control	WA	7	3
120	5	control	WA	9	1
125	5	0	WA	8	2
126	5	control	WA	6	4
127	5	-2	WA	8	2
128	5	-4	WA	5	5
130	5	-4	WA	5	5
131	5	-4	WA	7	3
132	5	2	WA	4	6
138	5	-2	WA	6	4
141	9	-6	WA	8	2
142	9	-6	WA	8	2
143	8	-6	WA	10	0
144	8	-6	WA	9	1
147	9	-6	WA	7	3
151	8	-6	WA	5	5
152	5	-6	WA	10	0
162	6	-6	WA	9	1
167	7	-6	WA	10	0
116extra		2	WA	2	8
1	5	0	OR	4	6
4	5	-2	OR	2	8
5	5	-4	OR	4	6
7	5	2	OR	2	8
11	5	0	OR	4	6
17	5	control	OR	9	1
18	5	-4	OR	6	4
20	5	control	OR	3	7
21	5	-4	OR	6	4
24	5	-2	OR	4	6
27	5	control	OR	6	4
29	5	-4	OR	8	2
32	5	0	OR	6	4
33	5	2	OR	7	3
39	5	-4	OR	5	5
42	5	-4	OR	8	2
44	5	control	OR	8	2
45	5	control	OR	6	4
56	5	-2	OR	6	4
57	5	2	OR	4	6
59	5	-2	OR	4	6
60	5	0	OR	3	7
61	5	2	OR	4	6
62	5	2	OR	5	5
63	5	2	OR	4	6
65	5	0	OR	7	3
75	5	-4	OR	4	6
82	5	0	OR	4	6
87	5	0	OR	3	7
88	5	2	OR	5	5
90	5	control	OR	6	4
94	5	0	OR	7	3
95	5	-4	OR	4	6
102	5	-2	OR	5	5
106	5	2	OR	6	4
109	5	2	OR	6	4
112	5	-2	OR	5	5
119	5	-2	OR	7	3
121	5	-2	OR	4	6
122	5	-2	OR	4	6
129	5	-4	OR	3	7
134	5	control	OR	2	8
135	5	control	OR	5	5
136	5	control	OR	5	5
137	5	0	OR	3	7
145	9	-6	OR	6	4
149	9	-6	OR	5	5
150	9	-6	OR	7	3
153	5	-6	OR	7	3
156	5	-6	OR	8	2
158	5	-6	OR	8	2
160	5	-6	OR	8	2
161	5	-6	OR	10	0
166	7	-6	OR	9	1
124extra		-4	OR	9	1
73extra		control	OR	0	10
84extra		-2	OR	7	3
8	5	-2	CA	4	6
9	5	-4	CA	4	6
10	5	0	CA	4	6
12	5	-2	CA	5	5
13	5	2	CA	2	8
14	5	0	CA	5	5
15	5	2	CA	2	8
23	5	-2	CA	6	4
25	5	control	CA	3	7
28	5	control	CA	0	10
35	5	-4	CA	2	8
38	5	-2	CA	4	6
41	5	2	CA	5	5
47	5	control	CA	5	5
49	5	control	CA	6	4
50	5	control	CA	1	9
51	5	-2	CA	5	5
53	5	0	CA	4	6
54	5	0	CA	7	3
55	5	2	CA	5	5
58	5	-4	CA	6	4
64	5	-4	CA	6	4
66	5	control	CA	4	6
68	5	0	CA	2	8
69	5	2	CA	0	10
70	5	2	CA	4	6
74	5	control	CA	3	7
77	5	-4	CA	2	8
78	5	-2	CA	6	4
83	5	-2	CA	3	7
86	5	-4	CA	4	6
96	5	-4	CA	3	7
98	5	0	CA	4	6
101	5	2	CA	4	6
105	5	2	CA	3	7
107	5	-2	CA	3	7
108	5	-4	CA	3	7
111	5	2	CA	4	6
113	5	-2	CA	8	2
117	5	0	CA	7	3
118	5	0	CA	8	2
123	5	0	CA	4	6
133	5	control	CA	3	7
139	5	control	CA	4	6
140	5	-4	CA	5	5
146	9	-6	CA	6	4
148	9	-6	CA	7	3
154	5	-6	CA	9	1
155	5	-6	CA	8	2
157	5	-6	CA	7	3
159	5	-6	CA	5	5
163	6	-6	CA	7	3
164	6	-6	CA	9	1
165	6	-6	CA	10	0
93extra		0	CA	2	8
